tarih;gün;seri;ders;başlık;kanca;kitle;şablon;hassas;kesinlik;mevsim;ruh hali;ışık;gün batımı;gün türü;IG saat;TikTok saat;YT saat;IG etiket;TikTok etiket;YT etiket;YKS kalan;LGS kalan
2026-11-16;Pzt;Haftanın Planı;;Boş gün planla;Haftada bir gün boş bırakmayan, iki gün boşa gider.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:31;17:31;tatil;21:30;22:30;20:30;#yks2027 #yks #zamanyönetimi #dersprogramı #eğitimkoçluğu;#yks2027 #yks #zamanyönetimi #dersprogramı #keşfet;#yks2027 #zamanyönetimi #Shorts;215;209
2026-11-17;Sal;Ders Taktiği;Coğrafya;Harita üstünde çalış;Coğrafya sorusu haritada doğar. Atlası aç.;öğrenci;soru-cozum;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:30;17:30;tatil;21:30;22:30;20:30;#yks2027 #yks #coğrafya #sorubankası #eğitimkoçluğu;#yks2027 #yks #coğrafya #sorubankası #keşfet;#yks2027 #coğrafya #Shorts;214;208
2026-11-18;Çar;Aynı Hafta;;Uyuyamıyorum;Gece 2'ye kadar uyuyamıyorum, sabah kalkamıyorum.;öğrenci;yazisma;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:30;17:30;tatil;21:30;22:30;20:30;#yks2027 #yks #öğrenci #öğrencihayatı #eğitimkoçluğu;#yks2027 #yks #öğrenci #öğrencihayatı #keşfet;#yks2027 #öğrenci #Shorts;213;207
2026-11-19;Per;Veli Köşesi;;Uyku düzeni;Gece 2'de ışığı yanan çocuğa kızmadan önce bunu okuyun.;veli;kart-veli;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:29);17:29;veli;21:00;20:30;20:00;#yks2027 #lgs #velirehberi #mersin #eğitimkoçluğu;#yks2027 #lgs #velirehberi #mersin #keşfet;#yks2027 #velirehberi #Shorts;212;206
2026-11-20;Cum;Doğru Bilinen Yanlışlar;;Konu anlatımı izlemek çalışmaktır;Video izlemek çalışmak değil. İzlediğini çözmek çalışmak.;öğrenci;efsane-gercek;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:29);17:29;tatil;21:30;22:30;20:30;#yks2027 #yks #verimliçalışma #dersçalışma #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #dersçalışma #keşfet;#yks2027 #verimliçalışma #Shorts;211;205
2026-11-21;Cmt;Deneme Günü;;Süre yönetimi;Matematikte 2 dakikayı geçen soruya işaret koy, geç.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:28);17:28;tatil;21:30;22:30;20:30;#yks2027 #yks #türkiyegenelideneme #denemesınavı #eğitimkoçluğu;#yks2027 #yks #türkiyegenelideneme #denemesınavı #keşfet;#yks2027 #türkiyegenelideneme #Shorts;210;204
2026-11-22;Paz;Pazar Akşamı;;Mükemmel hafta yok;Mükemmel hafta yok. İyi yeter.;öğrenci;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:28);17:28;tatil;21:30;22:30;20:30;#yks2027 #yks #psikoloji #motivasyon #eğitimkoçluğu;#yks2027 #yks #psikoloji #motivasyon #keşfet;#yks2027 #psikoloji #Shorts;209;203
2026-11-23;Pzt;Haftanın Planı;;Plan bozulursa ne olur;Plan bozulur. Önemli olan ertesi gün nereden devam ettiğin.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:27);17:27;okul;20:30;21:30;19:30;#yks2027 #yks #dersprogramı #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #dersprogramı #verimliçalışma #keşfet;#yks2027 #dersprogramı #Shorts;208;202
2026-11-24;Sal;Özel Gün;;Öğretmenler Günü;Bir öğretmenin tek cümlesi bir yılı değiştirebilir.;herkes;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:27);17:27;okul;20:30;21:30;19:30;#yks2027 #yks #öğrenci #yks #eğitimkoçluğu;#yks2027 #yks #öğrenci #yks #keşfet;#yks2027 #öğrenci #Shorts;207;201
2026-11-25;Çar;Aynı Hafta;;Matematik korkusu;Matematiğe oturunca elim kolum bağlanıyor.;öğrenci;yazisma;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:26);17:26;okul;20:30;21:30;19:30;#yks2027 #yks #öğrencihayatı #sınavstresi #eğitimkoçluğu;#yks2027 #yks #öğrencihayatı #sınavstresi #keşfet;#yks2027 #öğrencihayatı #Shorts;206;200
2026-11-26;Per;Veli Köşesi;;Telefon tartışması;Telefonu almak mı, birlikte kural koymak mı?;veli;kart-veli;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:26);17:26;veli;21:00;20:30;20:00;#yks2027 #lgs #veli #mersin #eğitimkoçluğu;#yks2027 #lgs #veli #mersin #keşfet;#yks2027 #veli #Shorts;205;199
2026-11-27;Cum;Doğru Bilinen Yanlışlar;;Zeki olan kazanır;YKS zekâ değil, düzen sınavıdır.;öğrenci;efsane-gercek;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:25);17:25;okul;20:30;21:30;19:30;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #eğitimkoçluğu;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #keşfet;#yks2027 #dersçalışma #Shorts;204;198
2026-11-28;Cmt;Deneme Günü;;Net grafiği;Netlerini bir grafiğe dök. Tek deneme değil, çizgi önemli.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:25);17:25;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemesınavı #netartırma #eğitimkoçluğu;#yks2027 #yks #denemesınavı #netartırma #keşfet;#yks2027 #denemesınavı #Shorts;203;197
2026-11-29;Paz;Pazar Akşamı;;Dinlenme hakkı;Bugün dinlendiysen, suçluluk duymana gerek yok.;öğrenci;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:25);17:25;pazar;20:00;21:00;19:00;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;202;196
2026-11-30;Pzt;Haftanın Planı;;Soru sayısı mı, saat mi?;‘5 saat çalıştım’ değil, ‘120 soru, 14 yanlış’ de.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;karanlık erken (17:25);17:25;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #çalışmaplanı #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #çalışmaplanı #keşfet;#yks2027 #verimliçalışma #Shorts;201;195
2026-12-01;Sal;Özel Gün;;YKS'ye 200 gün;200 gün. Haftada 7 gün değil, haftada 6 iyi gün.;öğrenci;tek-cumle;;tahmini;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #yks #motivasyon #eğitimkoçluğu;#yks2027 #yks #yks #motivasyon #keşfet;#yks2027 #yks #Shorts;200;194
2026-12-02;Çar;Aynı Hafta;;Hastalandım;Grip oldum, 3 gündür masaya oturamadım.;öğrenci;yazisma;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;199;193
2026-12-03;Per;Veli Köşesi;;Sessiz çalışma alanı;Çocuğunuzun çalıştığı yerde televizyon sesi geliyor mu?;veli;kart-veli;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;veli;21:00;20:30;20:00;#yks2027 #lgs #sınavyılı #mersin #eğitimkoçluğu;#yks2027 #lgs #sınavyılı #mersin #keşfet;#yks2027 #sınavyılı #Shorts;198;192
2026-12-04;Cum;Doğru Bilinen Yanlışlar;;Kolay konular sona;Kolay konu sona kalınca kolay puan kaçar.;öğrenci;efsane-gercek;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #eğitimkoçluğu;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #keşfet;#yks2027 #doğrubilinenyanlışlar #Shorts;197;191
2026-12-05;Cmt;Deneme Günü;;Optik hatası;En pahalı yanlış: optiğe kaydırmak.;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;cumartesi;13:00;14:30;12:30;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;196;190
2026-12-06;Paz;Pazar Akşamı;;Kıyas bırak;Bu hafta kimseye bakma. Sadece dünkü sene.;öğrenci;tek-cumle;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;pazar;20:00;21:00;19:00;#yks2027 #yks #sınavkaygısı #pazarakşamı #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #pazarakşamı #keşfet;#yks2027 #sınavkaygısı #Shorts;195;189
2026-12-07;Pzt;Haftanın Planı;;Okul sonrası ilk saat;Eve gelince ilk saat: yemek ve 20 dakika hiçbir şey.;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;194;188
2026-12-08;Sal;Ders Taktiği;LGS Matematik;Yeni nesil soru okuma;Yeni nesil soruda ilk iş: sorulanın altını çiz.;öğrenci;soru-cozum;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#lgs2027 #lgs #matematik #tytkampı #eğitimkoçluğu;#lgs2027 #lgs #matematik #tytkampı #keşfet;#lgs2027 #matematik #Shorts;193;187
2026-12-09;Çar;Aynı Hafta;;Telefonu bırakamıyorum;Bir bakayım diyorum, 1 saat geçiyor.;öğrenci;yazisma;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;192;186
2026-12-10;Per;Veli Köşesi;;Ev içi yük;Sınav yılında çocuğa ev işi verilir mi?;veli;kart-veli;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;veli;21:00;20:30;20:00;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;191;185
2026-12-11;Cum;Doğru Bilinen Yanlışlar;;Kafein mucizesi;Enerji içeceği net artırmaz. Uykuyu azaltır.;öğrenci;efsane-gercek;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmayöntemleri #bilgi #eğitimkoçluğu;#yks2027 #yks #çalışmayöntemleri #bilgi #keşfet;#yks2027 #çalışmayöntemleri #Shorts;190;184
2026-12-12;Cmt;Deneme Günü;;Deneme sonrası duygu;Kötü geçti mi? Bugün analiz yok. Yarın sabah var.;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;cumartesi;13:00;14:30;12:30;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;189;183
2026-12-13;Paz;Pazar Akşamı;;Neden başladın;Neden başladığını hatırla. Kâğıda yaz.;öğrenci;tek-cumle;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;pazar;20:00;21:00;19:00;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;188;182
2026-12-14;Pzt;Haftanın Planı;;Tekrar günü;Yeni konu değil. Bu hafta geçen haftayı tekrar et.;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:24);17:24;okul;20:30;21:30;19:30;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;187;181
2026-12-15;Sal;Ders Taktiği;TYT Türkçe;Dil bilgisinde eleme;Emin olmadığın şıkkı değil, kesin yanlışı ele.;öğrenci;soru-cozum;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:25);17:25;okul;20:30;21:30;19:30;#yks2027 #yks #türkçe #konuanlatımı #eğitimkoçluğu;#yks2027 #yks #türkçe #konuanlatımı #keşfet;#yks2027 #türkçe #Shorts;186;180
2026-12-16;Çar;Aynı Hafta;;Ailem baskı yapıyor;Annem her akşam kaç soru çözdüğümü soruyor.;öğrenci;yazisma;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:25);17:25;okul;20:30;21:30;19:30;#yks2027 #yks #sınavkaygısı #öğrenci #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #öğrenci #keşfet;#yks2027 #sınavkaygısı #Shorts;185;179
2026-12-17;Per;Veli Köşesi;;Motivasyon konuşması;Uzun nasihat değil, tek cümle: ‘Yanındayım.’;veli;kart-veli;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:25);17:25;veli;21:00;20:30;20:00;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;184;178
2026-12-18;Cum;Doğru Bilinen Yanlışlar;;Özet çıkarmak şart;Her konuya özet çıkarmak zaman kaybı olabilir.;öğrenci;efsane-gercek;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:25);17:25;okul;20:30;21:30;19:30;#yks2027 #yks #bilgi #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #bilgi #verimliçalışma #keşfet;#yks2027 #bilgi #Shorts;183;177
2026-12-19;Cmt;Deneme Günü;;Evde deneme koşulları;Evde deneme: telefon başka odada, saat görünür yerde.;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:26);17:26;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #eğitimkoçluğu;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #keşfet;#yks2027 #denemeanalizi #Shorts;182;176
2026-12-20;Paz;Pazar Akşamı;;Yalnızlık;Bu yol yalnız hissettirir. Ama yalnız değilsin.;öğrenci;tek-cumle;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:26);17:26;pazar;20:00;21:00;19:00;#yks2027 #yks #yksmotivasyon #psikoloji #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #psikoloji #keşfet;#yks2027 #yksmotivasyon #Shorts;181;175
2026-12-21;Pzt;Özel Gün;;Yılın en uzun gecesi;Bugün yılın en uzun gecesi. Yarından itibaren günler uzuyor.;öğrenci;tek-cumle;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:27);17:27;okul;20:30;21:30;19:30;#yks2027 #yks #öğrenci #yks #eğitimkoçluğu;#yks2027 #yks #öğrenci #yks #keşfet;#yks2027 #öğrenci #Shorts;180;174
2026-12-22;Sal;Ders Taktiği;TYT Matematik;Sayı basamakları;Basamak sorusunda harfleri sayıya çevir, gerisi aritmetik.;öğrenci;soru-cozum;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:27);17:27;okul;20:30;21:30;19:30;#yks2027 #yks #matematik #sorubankası #eğitimkoçluğu;#yks2027 #yks #matematik #sorubankası #keşfet;#yks2027 #matematik #Shorts;179;173
2026-12-23;Çar;Aynı Hafta;;Hedefimi değiştirsem mi;Tıp çok uzak geliyor artık. Bıraksam mı?;öğrenci;yazisma;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:27);17:27;okul;20:30;21:30;19:30;#yks2027 #yks #öğrenci #öğrencihayatı #eğitimkoçluğu;#yks2027 #yks #öğrenci #öğrencihayatı #keşfet;#yks2027 #öğrenci #Shorts;178;172
2026-12-24;Per;Veli Köşesi;;Dershane kararı;Dershane, özel ders, koçluk: hangisi ne işe yarar?;veli;kart-veli;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:28);17:28;veli;21:00;20:30;20:00;#yks2027 #lgs #velirehberi #mersin #eğitimkoçluğu;#yks2027 #lgs #velirehberi #mersin #keşfet;#yks2027 #velirehberi #Shorts;177;171
2026-12-25;Cum;Doğru Bilinen Yanlışlar;;Boş bırakmak kaybettirir;4 yanlış 1 doğruyu götürür. Yani?;öğrenci;efsane-gercek;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:29);17:29;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #dersçalışma #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #dersçalışma #keşfet;#yks2027 #verimliçalışma #Shorts;176;170
2026-12-26;Cmt;Deneme Günü;;Türkiye geneli deneme;Türkiye geneli denemede sıralaman neyi söyler?;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";karanlık erken (17:29);17:29;cumartesi;13:00;14:30;12:30;#yks2027 #yks #türkiyegenelideneme #denemesınavı #eğitimkoçluğu;#yks2027 #yks #türkiyegenelideneme #denemesınavı #keşfet;#yks2027 #türkiyegenelideneme #Shorts;175;169
2026-12-27;Paz;Pazar Akşamı;;Beden de çalışır;Bu hafta kaç kere yürüdün? Beyin bacaklarla da çalışır.;öğrenci;tek-cumle;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";gün batımı 17:30;17:30;pazar;20:00;21:00;19:00;#yks2027 #yks #psikoloji #motivasyon #eğitimkoçluğu;#yks2027 #yks #psikoloji #motivasyon #keşfet;#yks2027 #psikoloji #Shorts;174;168
2026-12-28;Pzt;Haftanın Planı;;Telefon başka odada;Telefon masadaysa, aklın da masada değil.;öğrenci;kart-liste;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";gün batımı 17:30;17:30;okul;20:30;21:30;19:30;#yks2027 #yks #dersprogramı #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #dersprogramı #verimliçalışma #keşfet;#yks2027 #dersprogramı #Shorts;173;167
2026-12-29;Sal;Ders Taktiği;AYT Matematik;Türevde grafik oku;Türev sorusu grafikle geliyorsa, işaret tablosu yap.;öğrenci;soru-cozum;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";gün batımı 17:31;17:31;okul;20:30;21:30;19:30;#yks2027 #yks #matematik #soruçözümü #eğitimkoçluğu;#yks2027 #yks #matematik #soruçözümü #keşfet;#yks2027 #matematik #Shorts;172;166
2026-12-30;Çar;Aynı Hafta;;Konuyu anlamadım;Türevi üç kere izledim, hâlâ anlamadım.;öğrenci;yazisma;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";gün batımı 17:32;17:32;okul;20:30;21:30;19:30;#yks2027 #yks #öğrencihayatı #sınavstresi #eğitimkoçluğu;#yks2027 #yks #öğrencihayatı #sınavstresi #keşfet;#yks2027 #öğrencihayatı #Shorts;171;165
2026-12-31;Per;Özel Gün;;Yılbaşı gecesi;Bu gece ders yok. Yarın 2027: sınav yılı.;herkes;tek-cumle;;kesin;Kış dibi;"Yılın en karanlık haftaları. Motivasyon dipte; küçük hedef, sıcak ton.";gün batımı 17:32;17:32;okul;20:30;21:30;19:30;#yks2027 #yks #yks #mersin #eğitimkoçluğu;#yks2027 #yks #yks #mersin #keşfet;#yks2027 #yks #Shorts;170;164
2027-01-01;Cum;Özel Gün;;2027: sınav yılı;Yeni yıl, yeni plan değil. Aynı plan, daha sakin.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:33;17:33;tatil;21:30;22:30;20:30;#yks2027 #yks #yks #motivasyon #eğitimkoçluğu;#yks2027 #yks #yks #motivasyon #keşfet;#yks2027 #yks #Shorts;169;163
2027-01-02;Cmt;Deneme Günü;;Dönem sonu denemesi;Dönem bitti. Bu deneme dönemin karnesi.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:34;17:34;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemesınavı #netartırma #eğitimkoçluğu;#yks2027 #yks #denemesınavı #netartırma #keşfet;#yks2027 #denemesınavı #Shorts;168;162
2027-01-03;Paz;Pazar Akşamı;;Sınav senin değerin değil;Bir sınav, senin değerini ölçmez.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:34;17:34;pazar;20:00;21:00;19:00;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;167;161
2027-01-04;Pzt;Haftanın Planı;;Haftalık tek hedef;Bu haftanın tek cümlelik hedefini yaz. Tek cümle.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:35;17:35;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #çalışmaplanı #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #çalışmaplanı #keşfet;#yks2027 #verimliçalışma #Shorts;166;160
2027-01-05;Sal;Ders Taktiği;Edebiyat;Dönem–sanatçı eşleşmesi;Edebiyat ezber değil eşleştirme. Tablo kur.;öğrenci;soru-cozum;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:36;17:36;okul;20:30;21:30;19:30;#yks2027 #yks #edebiyat #derstaktikleri #eğitimkoçluğu;#yks2027 #yks #edebiyat #derstaktikleri #keşfet;#yks2027 #edebiyat #Shorts;165;159
2027-01-06;Çar;Aynı Hafta;;Motivasyonum yok;Hiç içimden gelmiyor. Zorla mı oturayım?;öğrenci;yazisma;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:37;17:37;okul;20:30;21:30;19:30;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;164;158
2027-01-07;Per;Veli Köşesi;;Karne haftası;Karneye bakarken önce neye bakmalı?;veli;kart-veli;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:38;17:38;veli;21:00;20:30;20:00;#yks2027 #lgs #sınavyılı #mersin #eğitimkoçluğu;#yks2027 #lgs #sınavyılı #mersin #keşfet;#yks2027 #sınavyılı #Shorts;163;157
2027-01-08;Cum;Doğru Bilinen Yanlışlar;;Motivasyon beklenir;Motivasyonu beklersen masaya oturmazsın.;öğrenci;efsane-gercek;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:39;17:39;okul;20:30;21:30;19:30;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #eğitimkoçluğu;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #keşfet;#yks2027 #doğrubilinenyanlışlar #Shorts;162;156
2027-01-09;Cmt;Deneme Günü;;Branş denemesi;Hafta içi branş denemesi, hafta sonu genel.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:40;17:40;cumartesi;13:00;14:30;12:30;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;161;155
2027-01-10;Paz;Pazar Akşamı;;Gelecek kaygısı;Gelecek büyük. Yarın küçük. Yarına bak.;öğrenci;tek-cumle;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:40;17:40;pazar;20:00;21:00;19:00;#yks2027 #yks #sınavkaygısı #pazarakşamı #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #pazarakşamı #keşfet;#yks2027 #sınavkaygısı #Shorts;160;154
2027-01-11;Pzt;Haftanın Planı;;Zayıf konu listesi;En zayıf 3 konunu biliyor musun? Adıyla söyle.;öğrenci;kart-liste;;kesin;Karne ve toparlanma;Karne kaygısı, sonra yarıyılın 16 günlük fırsatı.;gün batımı 17:41;17:41;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;159;153
